Category,Description
Electronics,"Ikall N4 Tablet (7 inch, 16GB, 4G + LTE + Voice Calling), Black Sales Package: Tablet, earphone, charger, user manual, 4g Volte supported; Operating system: Android 6. 0 marshmallow, 1. 3 Ghz quad-core processor, 7 inch display, 1024 x 600 pixels resolution; Camera: 5mp primary camera, 2mp secondary camera, dual sim, 3000 mAh lithium-ion battery capacity; Memory: 1GB RAM, 16GB internal memory which can be expandable upto 32GB;1 year warranty."
Household,"Beardo Activated Charcoal Deep Cleansing Face Scrub, 100g Beardo charcoal face scrub targets deep-down impurities to defend against daily build-up like dirt, oil and impurities for a truly deep clean. Naturally purifies and deep cleans. Draws out and traps more dirt and impurities than a basic face wash. Provides deeply cleaned, tingly-smooth skin. Contains activated charcoal."
Electronics,"JBL GO Portable Wireless Bluetooth Speaker with Mic (Red) Colour:Red   Packed in a pocket-size body, JBL Go speaker delivers powerful and high impact sound. It takes the entertainment quotient higher with its effective audio output which comes at a reasonable price range. This speaker is designed with minimalistic approach to size and is easily portable. You can carry it to family picnics, beach parties, sports practice or to your evening walks for keeping yourself entertained. The beauty of this JBL speaker is that it comes with Bluetooth connectivity. You can play your favourite sound tracks available on your mobile phone by simply pairing this speaker to it. It gives you 5 hours of non-stop entertainment once fully charged. This JBL speaker also has Aux-In slot available that enables you to connect various other media devices to it. The built-in speakerphone available on this JBL speaker has noise cancellation technology. It allows you to take calls conveniently. This dual functionality makes this speaker a great value for money product."
Books,"How to Talk to Anyone, Anytime, Anywhere: The Secrets of Good Communication Review ""Full of some of the smartest, most practical advice I've come across...Larry King is a master of communication."" --Dan RatherFrom the Hardcover edition.  From the Inside Flap st-known master of conversation unveils his secrets for getting the talk flowing smoothly in any situation. ""Communication is a necessary skill: Larry King is a master of communication, and now he's shared what he knows. If only he'd written the book sooner, I might have had a more interesting career.""--Dan Rather. 				    	 					              See all Product description"
Clothing & Accessories,"Reddington Men's Cotton Handkerchief (White) - Pack of 12 Reddington Cotton Handkerchiefs are substantial, durable and soft. Many of our say that these cotton hankies hold up well after several washings, unlike some of the alternatives, which can be flimsy and after several washes.  We work closely with manufacturers to bring you a variety of unique choices, at that fit. Our products have adorned thousands of grooms at wedding, and are gift for birthdays, festivals and all events.  By only from Reddington Clothing you will have truly cotton handkerchiefs. These hankies can be washed on a normal cycle, dried on the line or in your dryer on low or high heat and should be ironed on the cotton setting.  The large handkerchief size is an excellent size for men. By these hankies you will start saving a tree one sneeze at a time   WHY CHOOSE REDDINGTON HANDKERCHIEFMake the right impression every time with our range of elegant designs.  The finest materials and exceptional workmanship combine to create your handkerchief.   GREAT SELECTION OF HANDKERCHIEF Our comprehensive selection of handkerchief means you can choose the design you love.   INCORPORATE YOUR INDIVIDUALITY Take advantage of our wide range of designs, shades and styles updated every month in tandem with trends.   UNBEATABLE VALUE It's hard to believe, but the, style and choice we comes at a you simply won't find from 'off the shelf' stitched design. Browse our selection today and see just how can be."
Clothing & Accessories,Biba Girls Straight Salwar Suit Set Biba today is the most loved ethnic wear brand in the country. Biba Girls products are available now
Electronics,Envie AA 1000 4PL Ni-CD Rechargeable Battery (White) Rechargeable Batteries are cheaper than Alkaline Batteries because they can be used 1000 times. It costs less than a penny in electricity to charger a set 4 ENVIE Rechargeable Batteries.
Books,Problems in Inorganic Chemistry for NEET/AIIMS (2018-2019) Session 
Books,"Emotion and Relationships Review Relationships and Emotion Spoon fed: I am sorry I cannot provide a review on this book as it is written by my GURU, but rest assured that if this is your first contact with him, it is going to be a one way enjoyable/pleasurable journey for you with him. So don't wait hop on NOW. --By Amazon Customer on 28 January 2018 				    	 					 About the Author Sadhguru is a yogi and profound mystic of our times. An absolute clarity of perception places him in a unique space in not only matters spiritual but in business, environmental and international affairs and opens a new door on all that he touches."
Household,"Kurtzy Pan Rack Holder Dish Storage Organizer for Kitchen 42x24CM Kurtzy Drying Rack is made of stainless steel to ensure durability, rust resistance, and simple cleaning. Two sizes of frames allow for capacity of different sizes of pans, lids, and cutting boards at once. Four frames to hold multiple items simultaneously. Removable platform holds drained water for easy drying of kitchenware to prevent the breeding of bacteria"
Clothing & Accessories,"Amaal Men Cufflinks Set Men in a Gift Box Golden Cufflink,Tie pin Combo Set -CFL SET-101 Amaal is a Brand for men jewellery Cufflinks Set A Man Apart. You Just Feel Better When You Add Cufflinks To Your Wardrobe. Incredible Technology Is Employed To Bring These Designs. Choose One Of These Cufflinks As A Gift To Yourself Or For Someone Who Is Special. And Grooms To Be - Don'T Forget About Your Groomsmen, They Would Treasure A Pair Of Cufflinks From You.Miami is a Branded Mens Jewellery Deals in Various products as mentioned earrings for men ear rings for men men stylish earrings for women earrings for women jewellery for men men jewellery chain for men stylish bracelets for men stylish bracelet for men stylish studs for men rings for men gold plated ear stud for men bracelet for women stylish ring bracelet for women chain for men bracelet for men jewellery for men party wear traditional jewellery for women gold jewellery men 22k ring for men bracelets for men silver jewellery for men cufflinks set for men cuff links for men groom wedding jewellery oxidized jewellery for men diamond jewellery for men rings for men jewellery set for men gold ring for men 22k chain for men western wear valentine gifts for women valentine gifts for girlfriend valentine gifts for boyfriend valentine gift for lover valentine surprise gift valentine special gift"
Electronics,"Heypex Wireless Bluetooth Double Twins Earpieces Stereo Music Earphones for All Android, iOS and Windows Device (Random Colour) Heypex Latest Bluetooth version V4.1. support listening to songs and receiving calls, listening to music as stereo. listen to the music can adjust the upper and lower music, each touch once take you into the music age, the volume key is up and down, the volume key is added and reduced volume, the length of 3 seconds to hear the sound is the volume increase. telephone numbers, unregistered callback, full intelligent English voice prompt, boot, pairing, turn off the phone, low power, low voice prompts.millet phone has power display, you can always watch the power consumption of headphones, do not worry about headphones without electricity to let you live without worry.When Bluetooth headset is turned off on a cell phone every time, it will automatically connect to the phone when it turns on the Bluetooth headset. It is more convenient and quicker.intelligent compatibility: support all Bluetooth mobile phone, tablet, notebook, singing bar, QQ music, film and so on, all the mobile phones, no reason can not be connected, rest assured to buy. battery capacity: 75mah transmission distance: 10 meters charge time: 1-2 hours noise reduction: DSP intelligent noise elimination technology built-in HD microphone product sound quality."
Books,The Power of Now: Unabridged: A Guide to Spiritual Enlightenment 
Clothing & Accessories,"AJ FASHIONS Cotton Lycra Cycling Black Shorts for Girls/Women/Ladies - Pack of 2 This Pack of 2 Cotton Lycra Shorts By AJ FASHIONS will be an ideal pick for women seeking comfort and Soft. Made of Stretchable Fabric, these Sports cycling short will make you feel Awesome and Comfortable."
Clothing & Accessories,Sheomy Selfy Clear Round Transparent Wayfarer Spectacle Eye Frame Reading Mens Boys Girls Women's Sunglasses (Black Band) Selfy Round Transparent Wayfarer Spectacle Eye Frame Reading Eyeglasses Sunglasses for Women Mens Boys Girls (round transparent wayfarer) Black Clear Round Wayfarer accessories age and aqua attachment aviator aviators ban below belt black blue bluetooth box boys branded brown by camera car case cat cateye chase children choo circle cleaner clip color colored colour colours combo coolers cooling cost cover creature creed cricket dark day deal detachable dhawan diamond diesel discount disney display driving eye eyes eyewear fancy farenheit fashion flat floyd for ford frame funky girls glass glasses glassic gogal gogals goggles golden google googles green grey half hard headphones headset heart helmet holder home honey hut images in jambo jeans jents jet jimmy joe jordan kart kartz keeper keychain kids killer kit kohli ladies large latest lens light low man mans martin matte men mens men's mercury midnight mirror mirrored mm multicolor multicoloured navy neck new night nike nose of off offer offers organiser organizer original oval oversized pack pad pepe piar pink plain player polarized polaroid pouch price protected protection protector rack ray recorder rectangular red reflective reflector rim round royal rs rupees set shade shades shape shop silver singh size sky slim small son sport sports square stand storage strap style stylish sun sunglass sunglasses superman thread to transparent tray under unisex uv varun vast velocity versace video vintage virat vision visor vogue wallet watch wayfarer wear white with woman women womens year years yellow
Books,"English Story Book Collections for kids set of 8 By InIkao : A Total of 120 Panchatantra & Traditional Short Stories with Pictures Inikao Traditional Tales Collections are a Set of 8 Picture Story Books containing great Indian Stories from panchatantra, tenali raman, akbar birbal and Jataka. Set contains 4 titles Akbar Birbal, Panchtantra, Tenali Raman and Jataka Tales. Each Title has 2 Volumes. Each Volume has 15 Single Page Short Stories with a High resolution image for each story. Each Book Contains 16 Pages in Note Book Size. A Total of 120 Stories. Designed to help Inculcating reading habits in kids."
Books,41 Years (1978-2018) JEE Advanced (IIT-JEE) + 17 yrs JEE Main Topic-wise Solved Paper Chemistry 
Books,"The Indian Constitution: Cornerstone of A Nation (Classic Reissue) Review There is something majestic in the scale of the work that is appropriate to the subject-matter. The style, if relaxed and leisurely, is admirably clear. (The Economist)remains an indispensibe guide to the deliberation of the Constituent Assembly (Neeraja Jayal, Biblio, May-June 2000) 				    	 					 About the Author Granville Austin is a retired historian."
Household,"Maharsh 220-240 V, 50 HZ, 1000 W Blowing and Sucking Dual Purpose Vacuum Cleaner (Red) Does making your house or car squeaky clean stress you so much? Worry no more because the 1000W Power Vacuum Cleaner is here to the rescue! This vacuum cleaner is ideal for home, office, and car use as it effectively picks up the dust and dirt from floors and other surfaces. Its powerful suction feature allows you to clean even the inaccessible nooks so dust and dirt could never hide anymore. You can now bid goodbye to your traditional cleaning materials! This vacuum cleaner's lightweight and handy design, plus its six-meter cord, lets you utilize it conveniently and accomplish your job quickly. Thus, it's really the best tool that you can depend on in cleaning your furniture, upholstery, frames, curtains, books, computers, cars, and a lot more. The 1000W Power Vacuum Cleaner is an ideal vacuum cleaner that effectively picks up the dust and dirt from floors and other surfaces. Its lightweight and portable design are best for cleaning furniture, upholstery, frames, curtains, books, computers, cars and plenty more. It's a great choice for a quick and powerful cleaning of your home, delivering great results faster. Aside from the main vacuum cleaner, the set also includes a vacuum snout, a crevice nozzle, a small and large brush, and a permanent vacuum cleaner. Indeed, the 1000W Power Vacuum Cleaner is a great choice for a quick and powerful cleaning, delivering great results easier and quicker."
Household,"BESTONZON 150ml Stainless Steel Milk Frothing Jug Latte Pourer Cappuccino Coffee Jug (Silver) DescriptionA cup of tasty coffee will make you refresh in the morning! This jug is well made of stainless steel with anti-rust and scratch resistant features. It helps you to turn your milk or cream into rich, delicious, fluffy foam and it works perfectly with hand held milk frother or milk steamer. Just enjoy the perfect cappuccino, cafe latte, or latte macchiato!Feature- Color: Silver.- Material: Stainless steel.- Size: Approx. 5.2 x 5.7 x 6.5 cm (L x W x H).- Capacity: 150ml.- Lightweight for portable carry.aa- Chic and refined caliber design for precise liquid pattern mading.- Easy to clean and dry. Dishwasher safe.- Nice accessory for delicate and beautiful milk and coffee making.- Perfect for frothing a smooth milk foam and creating a perfect cappuccino.Package Including1 x 150ml Stainless Steel Milk Frothing Jug Latte Pourer Cappuccino Coffee Jug (Silver)"
Household,"ExclusiveLane Table Top Kitchen Decorative Wooden Masala Spice Box Set (20.3 cm x 20.3 cm x 5.0 cm, Brown) Size:12 x 16   This sheesham wooden box with 9 sections and a spoon is great to store Indian spices. It is handcrafted in classic brown color and comes with a unique sheesham spoon. This multipurpose utility box can also be used to store and serve refreshners, dry fruits and keep your knick knacks like jewellery, small items at one place. The natural brown colour of this multipurpose box enhances it's look and has 4 individually separated compartments. The containers can be used separately to store spices and other uses like for storing dry fruits, keep jewellery, serve refreshners and keep your knick knacks. It can be used to store raw spices as well and is easy to clean and maintain. This will definitely keep your spices organized in your kitchen. Art Type: Handcrafted. Note: Comes with a spoon and 9 removable containers. As this product is handcrafted there might be a slight color or design variation, which is natural and hence makes the product unique."
Books,"The Theory of Everything: The Origin And Fate of the Universe Review ...can explain the complexities of cosmological physics with an engaging combination of clarity and with ... his is a brain of extraordinary power. --The New York Review of Books 				    	 					 From the Publisher THE THEORY OF EVERYTHING: The Origin and Fate of the Universe was first published under the title THE CAMBRIDGE LECTURES: Life Works Copyright 1996 by Dove Audio, Inc. 				    	 					              See all Product description"
Books,Transportation Engineering 
Household,"Madhur Pure and Hygienic Sugar, 1kg Bag Sugar Facts: Sugar works wonders in healing scratches and cuts. Use Sugar to extend lipstick: Sprinkle a bit of sugar atop freshly applied lipstick, let it sit, and then lick it off. This works to set the lipstick and will extend the application. For extra mucky hands (think paint, grease, grime) add sugar to your soap lather to act as an abrasive. You can also use equal parts sugar and olive oil, which acts to soothe and moisturize over-worked hands."
Electronics,"Mackie PROFX22V2 22-Channel 4-Bus Mixer, Black Size:22 Channel   Mackie ProFXv2 mixers provide a comprehensive live sound solution with a wide range of models, each delivering unmatched sonic performance. Featuring all-new Mackie Vita preamps designed specifically for live sound and the powerful new ReadyFX effects engine, ProFX delivers a no-compromise toolkit including GEQ, USB recording/playback and flexible I/O for any professional application."
Clothing & Accessories,"HPS Sports Shorts for men, boxer short for mens, half pants man boys, Regular Fit Super Ploy Blue Shorts, slim fit summer cargo, stylish trending casual and gym wear specially designed for athletic body exercise, training, workout, gyming, running, jogging, trekking, nightwear HPS Sports is one of the best Indian online garments stores that offer exclusive range of current fashion based apparels for men. Online store houses huge collection of a number of apparels made of stylish fabric including Shorts for men. The clothes are crafted out of smooth cotton fabric which are comfortable to wear. It has huge collection of Shorts and It offers the trendy garments for both summer and winter seasons. It is an excellent online store for fashion lovers in India. The apparels it sells online are most durable and meets all international standards in their quality, fashion, and trends. Interestingly, furthermore, they are available at competitive and affordable prices."
Clothing & Accessories,"Bonjour Barbie Knitted Baby Tights Cute, cosy and above all, comfortable for delicate baby feet, these pastel shade Bonjour Kids Softy Comfy Socks , with anti-slip fabric in the socks, terry loop cushioned linings and Standard toes for smooth seams that cosset and care for those sensitive little toes. These sweet, socks with their little shoe top design in different colours look fancy , reinforced at stress areas, properly shaped for tiny feet."
Books,"GST on Goods & Passenger Transportation Services 2018 (including E-way bill) by Tax Publishers Containing overview of GST law for the sake of completeness, in fewest possible words. Providing a firstever commentary on the nature and scope of levy of GST on Goods and Passenger Transportation Services. Thoughtfully divided in Four parts being, — Part I:GST Law Basics Part II:GST on Goods Transportation Services Part III:GST on Passenger Transportation Services Part IV:E-way Bill Incorporating inter alia the law and procedure relating to inspection, detention and release of goods vehicles and conveyances. Separate part on overview of E-way Bill provisions and various practical issues arising in the implementation of the same. Upto date commentary, taking note of the related Notifications and Circulars issued till 10-8-2018."
Books,"A Competitive Book of Agriculture A Competitive Book of Agriculture by Nem Raj Sunda , 8thEdition,2018"
Household,"Valtos Apex Engineered Wood Bedside Table (Matte Finish, Wenge) A simple designed wenge color side table which blends perfectly with decor styles. A drawer storage added to the bed room."
Household,"Sunflame GT Pride 2 Burner Gas Stove, Black Style:2 Burners   Perfect Cooking Solution for Small Families Cook a wide variety of dishes with the Sunflame GT Pride 2 burner gas stove and experience its high quality manufacturing and finish that sets it apart from the rest. Featuring two high efficiency brass burners with ideal dimensions of 85 mm by 85 mm, this gas stove is perfect for bachelors and small families who want to cook more than one food item at a time. These efficient brass burners not only consume less LPG than other types of burners but are also extremely durable and can withstand heavy use. Try the latest recipe, cook vegetables, curries, rice, rotis and a large number of dishes using this efficient gas stove. Made from High Quality Materials for Long-lasting Durability With a brushed matte finish stainless steel base at the bottom and toughened glass on top, the Sunflame GT Pride gas stove is built to last for a long time, even with regular use. The pan supports on the burner are Euro-coated to prevent the colour from chipping off while the drip trays are made from stainless steel with the ability to withstand high temperatures on a daily basis. The toughened glass is heat and break resistant and scratch proof, making it easy to clean and maintain. Elegant Design with Toughened Glass Top Featuring a unique look with black toughened glass and an elegant design, the Sunflame GT Pride 2 burner gas stove is the perfect tool to give your kitchen a modern look and feel. Furthermore, the burner knobs feature a futuristic design while the brass burners sport a metallic golden finish for the perfect contrast with the black body of the stove. Combining aesthetics with functionality, these burners are placed well apart from each other to facilitate the use of larger utensils while cooking."
Clothing & Accessories,PalmTree Girl's Loose Fit Skirt Indigo knit flare skirt discharge and color discharged print ditsy floral placement print at hem.
Electronics,"Alfa AWUS036ACH 300 Mbps Wireless USB 3.0 Wi-Fi Adapter (Black) Enjoy the latest generation wireless technology with your personal computer. THis device enables faster speed, farther signal coverage, and most stable, backward compliant wireless communications."
Books,Games People Play: The Psychology of Human Relationships Product Condition: Stains.
Household,"Simxen Egg Boiler Electric Automatic Off 7 Egg Poacher for Steaming, Cooking, Boiling and Frying, Multicolour This innovative Egg Boiler Poacher is made of high quality stainless steel heater boils eggs in just 7 mins, which in effect means that it costs less than 10 paisa for 7 eggs.  It boils egg in steam generated by stainless steel heater in 220V/400W Power with 25 ML Water.  It is advisable to use drinking water for long life of the heater.  Add Water According to the measuring cup, as per the number of eggs you want to cook.  The eggs will come out delicious, nutritional and cooked just right.  It is easy to peel the shell, and the eggs wont crack. Great Design with Nice Appearance Makes For a Great Gift for Your Family and Friends SalientFeatures:  Food Grade Material , Unbreakable Crystal Clear Top Cover, New and Improved High Capacity Design, High Efficiency Stainless Steel Heating Plate , Double Thermal Protection for Safe Application, Easy To Read Operation Indicator Light.  Cooking Capacity up to 7 Eggs. Can Be Used as a Food Steamer. Enjoy Different DIY Egg Dishes. Rated Voltage: AC 220-240V 50-60Hz, Power Rating: 350W, Unit size: 16x16x16 cm"
Household,"Ocean Lexington Red Wine, 315ml, Set Of 6 With that passionate red peeking out the glossy facade of the Lexington Red Wine glass from Ocean, you cant help but notice how a single glass of high spirits turns into a glass of therapy. Allowing you to twirl around and lose yourself to the aromatic notes of that enticing red wine, this set of six nudges you to include others in your moments of bliss."
Clothing & Accessories,"Weavers Villa Women's Shawl Accessorize your wardrobe with this beautiful and exclusive woven designer jamdani shawl. This shawl has been carefully woven on a jacquard pattern all over the shawl to give a ""Royal"" and ""Glamorous"" look to the product. The color combination of thread work used adds an elegant look in the shawl. Comfortable and warm to feel cozy in winters. Size: 40 x 80 inches. Wash care: dry clean only. This is an exclusive vintage ""Weavers villa"" shawl - think trendy. Be trendy."
Clothing & Accessories,"Iuhan 3pcs Toddler Baby Boy Girl Clothes Set Hoodie Tops+Pants+Headband Outfits ❤️Size:3M ----- Label Size:60 --- Bust:48cm/18.9"" --- Tops Length:33cm/13.0"" --- Pants Length:38cm/15.0"" --- Height:60CM ❤️Size:6M ----- Label Size:70 --- Bust:50cm/19.7"" --- Tops Length:35cm/13.8"" --- Pants Length:40cm/15.7"" --- Height:70CM ❤️Size:12M --- Label Size:80 --- Bust:52cm/20.5"" --- Tops Length:37cm/14.6"" --- Pants Length:42cm/16.5"" --- Height:80CM ❤️Size:18M --- Label Size:90 --- Bust:54cm/21.3"" ---- Tops Length:39cm/15.4"" --- Pants Length:45cm/17.7"" --- Height:90CM ❤️Size:24M --- Label Size:100 --- Bust:56cm/22.1"" --- Tops Length:41cm/16.2"" --- Pants Length:48cm/18.9"" --- Height:100CM"
Books,"Run to Daylight! Product Description In the golden years of professional football, one team and one coach reigned supreme: the 1960s Green Bay Packers, and the fiery Vince Lombardi.Run to Daylight! is Lombardis own diary of a week at the helm of that magnificent club. Together with legendary sports-journalist, W.C. Heinz, Lombardi takes us from the first review of game films on Monday right through the final gun on Sunday afternoon. We see the planning, the plotting, the practice and the pain as forty-plus men come together to form that precision unit that makes for winning football. Lombardi gives us his views on life, the game, coaching, success, family, and the famed ""Lombardi Sweep.""Now, in this anniversary edition, with a special foreword by David Maraniss, we are once again reminded of the passion and power behind America's greatest game. Written in W.C. Heinzs inimitable style,Run to Daylight! is part diary, part philosophy text, part coaches manual. Here, is professional football at its best. 				    	 					 About the Author Vince Lombardi was assistant coach with the New York Giants and then head coach for the Green Bay Packers from 1959 to 1967 before becoming head coach for the Washington Redskins in 1969.W.C. Heinz was the acclaimed sportswriter and author of The Professional, The Surgeon, Emergency,and Once I Heard the Cheers. He was also co-author of Run to Daylight!and MASH, the book on which the Emmy Award winning television show of the same name was based."
Household,"KraftInn Bamboo Floor Lamp (Brown, 28-inch)"
Clothing & Accessories,Chhota Bheem Boys' Plain Regular Fit Hoodie Dress up in you favourate super Hero Chhota Bheem t-shirt with fashion and Passion.
